ID,Source,Title,Address,Phone,Email,Website,Working Hours,Description,Booking.com,TripAdvisor,Category
1,http://visit.kaunas.lt/en/accommodation/hotels/amberton-cozy/,AMBERTON COZY****,"V. Kuzmos g. 8, Kaunas",+370 37 229 981,kaunas@amberton.lt,www.ambertonhotels.com,,"
Amberton Cozy hotel is located in the old town of Kaunas, right next to the Town Hall, a multitude of historical houses of prayer and the city centre. Only a few minutes walking and you will find yourself in the arms of nature – at the confluence of the Rivers Nemunas and Neris.
",https://www.booking.com/hotel/lt/kaunas-klaipeda.lt.html,,HOTELS
2,http://visit.kaunas.lt/en/accommodation/hotels/via-baltica/,Via Baltica ***,"Verslo g. 17, Kumpių km., Kauno raj.",+370 699 85 870,viabalticapramogos@gmail.com,www.via-baltica.lt,,"
Located on the E67 highway, only 10 minutes from the centre of Kaunas, Via Baltica features free parking and a sauna, and a heated swimming pool at extra charge. The Via Baltica's modern rooms offer cable TV and a private bathroom. The restaurant serves a wide range of Lithuanian and international dishes. Take–away service is available as well. Grilled dishes are prepared on the terrace in summer. The Via Baltica's parking lot is under 24–hour surveillance. It is located on kilometre 105.9 of the A1/E67 highway (Vilnius–Kaunas–Klaipeda). 
",https://www.booking.com/hotel/lt/via-baltica.lt.html,,HOTELS
3,http://visit.kaunas.lt/en/accommodation/hotels/algiro-hotel/,Algiro hotel ***,"Savanorių pr. 120, Kaunas",+370 37 537 700,info@algirohotel.lt,www.algirohotel.lt,,"
Algiro Hotel is located in Kaunas. Each room here will provide you with a TV, air conditioning, cable channels and a telephone offering free phone calls to all Lithuanian landline and mobile phone networks. Featuring a shower, private bathroom also comes with a hairdryer and free toiletries. Rooms with disability access are available upon request At Algiro Hotel you will find a 24–hour front desk and a bar. Other facilities offered at the property include a shared lounge and luggage storage. There is free Wi–Fi and private parking for cars and buses. The hotel is 400 m from Christ's Resurrection Church, 900 m from VDU Grand Hall and 900 m from Statue of Liberty. Kaunas Airport is 12 km away. it is a 5–minute drive to Kaunas Clinics.
",https://www.booking.com/searchresults.lt.html?aid=318615;label=New_Lithuanian_LT_19114766305-NXMDoUX3o85%2AyZdBXQ4eIQS75168953905%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap1t1%3Aneg;sid=f3bb798a1a48a4781723535f47749a00;city=-2615427;expand_sb=1;highlighted_hotels=1071701;hlrd=no_dates;keep_landing=1;redirected=1;source=hotel&gclid=EAIaIQobChMI_rObu7vy1wIVCUMZCh2LmwvKEAAYASAAEgKku_D_BwE&,,HOTELS
4,http://visit.kaunas.lt/en/accommodation/hotels/hof-hotel/,Hof Hotel****,"Maironio g. 21A, Kaunas",+370 655 37 000,sima@hofhotel.eu,www.hofhotel.eu/,,"
Hof Hotel is located in Kaunas, 100 m from Kaunas State Drama Theatre. Free Wi–Fi is provided throughout the property and free private parking is available on site. All rooms feature a flat–screen TV with satellite channels. Certain rooms have a seating area to relax in after a busy day. All rooms have a private bathroom with bath robes and free toiletries. You will find a 24–hour front desk at the property.The hotel also offers bike hire and car hire. Kaunas State Musical Theatre is 200 m from HOF HOTEL, while VDU Grand Hall is 300 m away. Kaunas Airport is 13 km from the property.
",https://www.booking.com/hotel/lt/hof.lt.html,,HOTELS
5,http://visit.kaunas.lt/en/accommodation/hotels/perkuno-namai/,Perkūno namai****,"Perkūno al. 61, Kaunas",+370 37 320 230,hotel@perkuno-namai.lt,www.perkuno-namai.lt ,,"
Perkuno Namai Park Hotel is located in a quiet neighbourhood of Kaunas, just by Ąžuolynas Park. It offers air–conditioned, soundproofed rooms with cable TV and free Wi–Fi. The rooms of the Perkuno Namai are spacious and feature a simple interior décor. All have a seating area, minibar and a work desk. The private bathrooms all have hairdryers. Guests can rent bicycles directly from the hotel. The front desk is available 24 hours a day, and provides ticket services and tour information. S. Darius and S. Girėnas Stadium is located 400 m from the Perkuno Park Hotel. The Kaunas Central Railway Station is a 6 minute car ride away. Laisvės alėja is 1.4 km from the hotel.
",https://www.booking.com/hotel/lt/perkuno-namai.lt.html?aid=318615;label=New_Lithuanian_LT_19114766305-NXMDoUX3o85%2AyZdBXQ4eIQS75168953905%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap1t1%3Aneg;sid=f3bb798a1a48a4781723535f47749a00;dest_id=-2615427;dest_type=city;dist=0;hapos=1;hpos=1;room1=A%2CA;sb_price_type=total;srepoch=1512463300;srfid=0875bfd8b61c3f046caa65d333fc83faa85ec259X1;srpvid=cc723d21ee2b002d;type=total;ucfs=1&#hotelTmpl,,HOTELS
6,http://visit.kaunas.lt/en/accommodation/guest-houses/naujas-lankytinos-vietos/,Naujas Lankytinos vietos,"Poilsio g. 12, Kulautuvos mstl., Kauno r",,,,,"
",,,GUEST HOUSES
7,http://visit.kaunas.lt/en/accommodation/hotels/babilonas/,Babilonas ***,"Žalioji g. 38A, Kaunas",+370 37 202 545 ,babilonas@babilonas.lt,www.babilonas.lt,,"
The small and cozy hotel has 24 modern rooms furnished in European style with air conditioning (2 suites with bathrooms and outdoor terraces, 1 four–person room, 2 triple rooms, 16 double rooms, and 3 single rooms) available for your choice. The following services are available for the convenience of our guests: elevator, direct dial telephone, cable TV, mini bar, hair dryer, and balconies and terraces in some of the rooms. Two rooms are fully furnished to accommodate people with disabilities. The vehicles of the guests can be safely parked on the two available parking lots of the hotel at no extra charge. For an additional fee, the cars may be parked on the heated underground parking lot. The rooms radiate a feeling of coziness created by modern wooden windows, curtains made from Lithuanian linen and the breathtaking panoramas of the city and the surrounding landscape.
",https://www.booking.com/hotel/lt/babilonas.lt.html,,HOTELS
8,http://visit.kaunas.lt/en/accommodation/hotels/metropolis/,Metropolis***," S. Daukanto g. 21, Kaunas",+370 37 205 992,metropolis@metropolishotel.lt,www.metropolishotel.lt ,,"
The historically famous hotel is ideally situated for tourists and business travellers, who want to visit a beautiful Kaunas city. During the high season our 75 fully furnished rooms of various types and styles can accommodate up to 160 guests at once. Cosy, filled with historic charm, all hotel rooms are equipped with bathrooms, digital TV and free Wi–Fi for the comfort of the guests.
",https://www.booking.com/hotel/lt/hotel-metropolis.lt.html,,HOTELS
9,http://visit.kaunas.lt/en/accommodation/hotels/pazaislis-park-hotel/,Pažaislis Park Hotel***," T.Masiulio g. 18e, Kaunas",+370 602 77777,info@parkhotel.lt, www.pazaislisparkhotel.lt,,"
The Pažaislis Park Hotel is a small and homely hotel. All ten rooms have different interior. The suites have special names. Rooms are equipped with jacuzzi or shower cabins, hair dryers, SAT-TV, DVD, LCD television sets, king–size beds, minibars, wireless internet and safes. Some of the rooms have air conditioning and balconies. Our hotel guests may park their cars in a secure enclosed parking area.
",https://www.booking.com/hotel/lt/pazaislis-park.lt.html,,HOTELS
10,http://visit.kaunas.lt/en/accommodation/campings/kaunas-city-camping/,Kaunas city camping,"Jonavos g. 51A, Kaunas",+370 618 09 407,camp@kaunascamping.eu,www.kaunascamping.eu,,"
Renovated Kaunas camping is available for all guests visiting the city. The staff works 24 h per day and is always ready to assist you. For convenience of visitors modern kitchen with all neccessary facilities for preparing and keeping food is equipped. On a hot summer day one can refresh in an outdoor pool and those keen on active sports can take a ball and play basketball, the Lithuanian favorite sports called as the second religion in the country. In winter it is offered to relax in sauna or hot tub. Children can enjoy trampoline in a specially for them equipped game zone. For more sophisticated guests an English type cottage with a terrace, private WC, shower and kitchen up to 5 people is available. Our camp is established in a perfect location, only 3 meters from the bus stop in a few minutes to reach the old town of Kaunas.
",,,CAMPINGS
