ID,Source,Title,Address,Phone,Email,Website,Working Hours,Description,Category
1,http://visit.kaunas.lt/en/meetings/venues/coworking-spaces/redakcija/,REDAKCIJA,"Vilniaus g. 34, Kaunas",+370 657 79878 ,info@kaunascoworking.lt,www.kaunascoworking.lt,,"The only co-working space in the Old Town of Kaunas offers great conditions and unlimited hours for work. Three spaces are available, as well as a meeting room and a discussion bar. All of the areas can be adapted for conferences, business meetings and other events for up to 60 people.  ",COWORKING SPACES
2,http://visit.kaunas.lt/en/meetings/venues/hotels/best-baltic-kaunas/,BEST BALTIC KAUNAS****,"A. Mickevičiaus g. 28, Kaunas",+370 612 84 444,conference.k@bestbaltichotels.eu,www.bestbaltichotels.eu,,"Located in the heart of Kaunas, the hotel has six conference halls that can fit up to 300 people. There are 75 rooms and a delightful European cuisine restaurant.",HOTELS
3,http://visit.kaunas.lt/en/meetings/venues/venues/kauno-zalgirio-arena/,"KAUNAS ""ŽALGIRIS"" ARENA","Karaliaus Mindaugo pr. 50, Kaunas",+370 615 98 636,info@zalgirioarena.lt,www.zalgirioarena.lt,,"Biggest and newest in the Baltics, the arena can fit as many 15688 people during sports events and 20517 people at concerts. Exceptional acoustics and state-of-the-art technologies available make the arena truly universal perfect for events of various complexity. It has been ",VENUES
4,http://visit.kaunas.lt/en/meetings/venues/business-centers/ktu-santakos-slenis/,KTU SANTAKA VALLEY,"K. Baršausko g. 59, Kaunas",+370 37 300 082,renginiai@ktu.lt,www.ktu.edu,,"The purpose of the biggest centre of science and technology in Lithuania is to create an integrated science, study and business centre for public and private research, knowledge-intensive businesses, and to provide added-value services. The valley is open for events for up to 400 people that can be hosted in modern halls and meeting rooms equipped with projectors, screens, audio systems, computers, microphones, Wi-Fi etc., as well as space for coffee breaks and banquets. Advice for the best event management solutions is available.",BUSINESS CENTERS
5,http://visit.kaunas.lt/en/meetings/venues/coworking-spaces/talent-garden-kaunas/,TALENT GARDEN KAUNAS,"Laisvės al. 59-3a., Kaunas",+370 638 07748,kaunas@talentgarden.org,,,"Part of the European network of Talent Garden, the first co-working space in Kaunas offers three fully equipped meeting areas ideal for conferences, workshops and business meetings. The administration service is available, too, as well as various rearrangement of the areas.",COWORKING SPACES
6,http://visit.kaunas.lt/en/meetings/venues/hotels/best-western-santaka/,BEST WESTERN SANTAKA****,"J.Gruodžio g. 21, Kaunas",+370 37 302 702,office@santakahotel.eu,www.santakahotel.eu,,"The hotel provides excellent conditions for business. The conference halls are stocked up with up-to-date equipment including digital conference interpreting equipment, discussion microphones, audio and video equipment, Wi-Fi, projector etc. In house catering (up to 126 persons at the hotel restaurant and up to 262 persons at the conference halls) as well as free parking in the courtyard.",HOTELS
7,http://visit.kaunas.lt/en/meetings/venues/business-centers/kaunas-science-and-technology-park/,KAUNAS SCIENCE AND TECHNOLOGY PARK,"K. Baršausko g. 59, Kaunas",+370 607 23223 ,renata.steponaviciene@kaunomtp.lt ,www.kaunomtp.lt ,,"Scattered around the KTU Santaka Valley and other locations in Kaunas, science and technology park is home to small businesses and technology-oriented start-ups. The park offers great solutions for seminars, conferences and creative workshops.",BUSINESS CENTERS
8,http://visit.kaunas.lt/en/meetings/venues/venues/kaunas-artists-house/,KAUNAS ARTISTS' HOUSE,"V. Putvinskio g. 56, Kaunas",+370 37 223144,menas@kmn.lt,www.kmn.lt,,"Located in a charming modernist building designed for Vatican nunciature, the Kaunas Artists",VENUES
9,http://visit.kaunas.lt/en/meetings/venues/hotels/daugirdas/,DAUGIRDAS****,"T.Daugirdo g. 4, Kaunas",+370 37 301 561,hotel@daugirdas.lt,www.daugirdas.lt,,The complex of Daugirdas consists of an authentic building dating back to 16th century and a stylish contemporary annex ,HOTELS
10,http://visit.kaunas.lt/en/meetings/venues/business-centers/home-idea-centre-nic/,HOME IDEA CENTRE NIC,"Pramonės pr. 8E, Kaunas",+370 37 765 111,info@nicentras.lt,www.nicentras.lt,,"Located in the industrial area of Kaunas, NIC is conveniently reached by car and offers plenty of free parking space. The conference hall is equipped with wireless projector and screen, audio and video systems and magnetic board. Catering and coffee break service is available upon request. ",BUSINESS CENTERS
