ID,Source,Title,Address,Phone,Email,Website,Working Hours,Description,Category
1,http://visit.kaunas.lt/en/eat-and-drink/bars/punto-jazz-palepe/,PUNTO JAZZ PALĖPĖ,"Kęstučio g. 6, Kaunas",+370 686 38 850,info@puntojazz.lt,www.puntojazz.lt,,"

Pizza restaurant, music club.


Read more
Less

",BARS
2,http://visit.kaunas.lt/en/eat-and-drink/restaurants/dia/,DIA,"Maironio g. 9, Kaunas",+370 655 80 308,vaiva@restoranasdia.lt,www.restoranasdia.lt,"I - IV 11:00 - 22:00
V 11:00 - 00:00
VI 12:00 - 00:00
VII 14:00 - 22:00","

DIA - whole world kitchen.


Read more
Less

",RESTAURANTS
3,http://visit.kaunas.lt/en/eat-and-drink/bars/republic-no-3/,Republic No. 2 ,"Vilniaus g. 13, Kaunas",+370 612 13 111,info@pub.lt,www.pub.lt,"I - IV - 11:00 - 24:00
V - VI - 11:00 - 01:00
VII - 12:00 - 24:00","

RePUBlic – English style pub at Kaunas city center.


Read more
Less

",BARS
4,http://visit.kaunas.lt/en/eat-and-drink/pizzerias/cili-pica/,ČILI PICA,"Savanorių pr. 346, Kaunas",+370 611 53 365,, www.cili.lt,,"

Other „Čili pica“ restaurants: 
Baršausko g. 6, Kaunas  +370 686 50 638
Islandijos pl. 32, Kaunas  +370 37 239 055
K.Mindaugo g. 49, Kaunas  +370 686 54 629
 


Read more
Less

",PIZZERIAS
5,http://visit.kaunas.lt/en/eat-and-drink/cafes/kultura/,KULTŪRA,"K. Donelaičio g. 16, Kaunas",+370 676 36 928,,https://www.facebook.com/pages/Kavin%C4%97-Kult%C5%ABra/761993457191983,,"

      


Read more
Less

",CAFES
6,http://visit.kaunas.lt/en/eat-and-drink/lithuanian-pub-entry/,Lithuanian Pub Entry ,"Vilniaus g. 26, Kaunas",+37061443332,senamiestis@entry.lt,http://www.facebook.com/lithuanianpub,I–VII 11:00–23:45,"

Lithuanian Pub Entry  invites everyone to come and enjoy our rich selection of meals or simply have a friendly evening drink. With its beautiful art deco details, the pub evokes the mood of Kaunas golden age: the time when the city enjoyed the lavishness of the capital. Come and experience our internationally inspired menu and a wide choice of drinks. No potato dumplings here – you can count on us!


Read more
Less

",EAT & DRINK
7,http://visit.kaunas.lt/en/eat-and-drink/naujas-produktu-kategorija-2/vero-cafe/,VERO CAFE,"Laisvės al. 45, Kaunas",+370 612 10 033,,www.verocafe.lt,,"

Vero Cafe is a high-quality take-away coffee predecessor. The first coffee shop was opened in 2007 with a mission to delight people of good coffee.


Read more
Less

",COFFEE LOVERS
8,http://visit.kaunas.lt/en/eat-and-drink/bars/republic-no-1/,Republic No.1,"Laisvės al.57, Kaunas", +370 614 43 444, info@pub.lt,www.pub.lt,"I - IV - 11:00 - 02:00
V - VI - 11:00 - 06:00
VII - 12:00 - 02:00","

RePUBlic – English style pub at Kaunas city center.


Read more
Less

",BARS
9,http://visit.kaunas.lt/en/eat-and-drink/greitas-maistas/sushi-express/,SUSHI EXPRESS,"Laisvės al. 12A, Kaunas",+370 699 96 611  ,kaunas@sushiexpress.lt,www.sushiexpress.lt ,"I-VI 10.00 – 22.00
VII 10.00 – 21.00","

Sushi Express - japan's fast food restaurant.Other Sushi Express restaurants in Kaunas: Rotušės a. 6, Kaunas   Tel. +370 656 50 188Baltų pr. 18, Kaunas  Tel. +370 655 35 370


Read more
Less

",FAST FOOD
10,http://visit.kaunas.lt/en/eat-and-drink/greitas-maistas/mc-donalds/,MC DONALD'S,"Savanorių pr. 321A, Kaunas",+370 37 310 355,,ww.mcd.lt/lt,"I - IV 08:00 - 00:00
V - VI 08:00 - 01:00
VII 08:00 - 00:00","

MC DONALD'S in Kaunas : Pramonės pr. 8B, Kaunas   Tel. +370 37 375 901Islandijos pl. 32, Kaunas, MEGA


Read more
Less

",FAST FOOD
