ID,Source,Title,Address,Phone,Email,Website,Working Hours,Description,Category
1,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/kaunas-city-museum-folk-music-branch/,Kaunas city museum – Folk music branch ,"L. Zamenhofo g. 12/Kurpių g. 12, Kaunas",+370 37 422 295,,www.kaunomuziejus.lt,"II – V 10 AM – 6 PM, VI 10 AM – 5 PM",,MUSEUM
2,http://visit.kaunas.lt/en/to-do/for-children/museums-for-children/zoopark-mega/,ZOOPARK | MEGA,"Islandijos pl. 32, Kaunas",+370 631 22 224,info@zoopark.lt,http://www.zoopark.lt/,I - VII 10:00 - 21:00,Zoopark,MUSEUMS FOR CHILDREN
3,http://visit.kaunas.lt/en/to-do/for-children/active/curiocity/,CURIOCITY,"Islandijos pl. 32, Kaunas, PLC MEGA",+370 688 33 202,smalsu@curiocity.lt,www.curiocity.lt,I - VII 10:00 a.m. - 9:00 p.m.,,ACTIVE
4,http://visit.kaunas.lt/en/to-do/active-leisure/extreme/uno-park/,"""UNO park""","Gervių g., Kaunas",+370 601 94 545,kaunas@unoparks.lt,http://www.unoparks.lt/home.html?lang=en,,,EXTREME
5,http://visit.kaunas.lt/en/to-do/for-children/playing-rooms/childrens-entertainment-club-mauglis-ir-vaikai/,"Children's entertainment club ""Mauglis ir vaikai""","Pramonės pr. 29, Kaunas",+370 657 85 537,info@mauglis.net,www.mauglis.net ,I - VII  10:00 - 21:00,,PLAYING ROOMS
6,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/kaunas-city-museum-kaunas-town-hall/,Kaunas City museum - Kaunas Town hall ,"Rotušės a. 15, Kaunas",+370 37 208 220,muziejus@kaunomuziejus.lt,www.kaunomuziejus.lt,"II – VI 10 AM – 6 PM, VII 10 AM – 4 PM",,MUSEUM
7,http://visit.kaunas.lt/en/to-do/for-children/playing-rooms/kar-kar-landas/,"""KAR KAR LAND'AS""","Šiaurės pr.  8D, Kaunas ",+370 605 55 055,info@karkarlandas.lt,www.karkarlandas.lt, I - VII   10:00 – 20:00 ,,PLAYING ROOMS
8,http://visit.kaunas.lt/en/to-see/museums-and-galleries/gallery/yard-gallery/,Yard gallery,"E. Ožeškienės g. 21A (backyard), Kaunas",,,,,,GALLERY
9,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/vytautas-the-great-war-museum/,VYTAUTAS THE GREAT WAR MUSEUM,"K. Donelaičio g. 64, Kaunas ",+370 37 320 765,vdkaromuziejus@kam.lt,www.kariuomene.kam.lt/lt/karo_muziejus.html,II - VII 10:00 – 17:00,,MUSEUM
10,http://visit.kaunas.lt/en/to-do/for-children/playing-rooms/childrens-entertainment-center-euroopa/,"Children's entertainment center ""EUROOPA""","Karaliaus Mindaugo pr. 49, Kaunas",+370 615 65 953,info@pramoguimperija.lt,www.pramoguimperija.lt,I - VII  10:00 - 21:00,,PLAYING ROOMS
