ID,Source,Title,Address,Phone,Email,Website,Working Hours,Description,Category
1,http://visit.kaunas.lt/en/to-do/health-and-leisure/beauty-salon/madlein/,Madlein,"Karaliaus Mindaugo pr. 68, Kaunas",+370 626 33366,info@madlein.lt,https://www.facebook.com/MADLEIN-gro%C5%BEio-namai-243545629396327/,,,BEAUTY SALON
2,http://visit.kaunas.lt/en/to-do/health-and-leisure/sport-clubs/shape-gym/,Shape Gym,"Šiaurės pr. 44, Kaunas",+370 606 12 364,info@shapegym.lt,www.shapegym.lt,"I - V 06:00 - 23:00 
VI - VII 09:00 - 16:00","New, cozy, modern sport club in Kaunas city.",SPORT CLUBS
3,http://visit.kaunas.lt/en/to-do/health-and-leisure/spa-and-wellness-centers/ausros-spa/,Aušros SPA,"Aušros g. 20, 44172 Kaunas",+370 612 48 133,info@spanamai.lt,www.spanamai.lt,I - VI  10:00 - 20:00,"Aušros SPA mission is to bring equilibrium to your mind, body and spirit. You can choose from a full range of exceptional treatments followed by pure tranquility, where muscle tension and the mind’s concerns simply melt away allowing you to emerge refreshed, balanced and energized.",SPA AND WELLNESS CENTERS
4,http://visit.kaunas.lt/en/to-do/health-and-leisure/sport-clubs/fitnie-academy/,FITNIE ACADEMY,"Sporto g. 3, Kaunas",+370 640 52 185,info@fitnie.lt,www.fitnie.lt,"I-V 07:00 - 22:00
VI - VII 9:00 - 18:00 
","Fitnie Academy by Galinta is a sport club in Kaunas with unique location and professional trainers. Their goal is to provide the best quality services, emotions and long-term relationship with the customers and contribute to healthier life by sharing the knowledge with everyone in the sport club.  ",SPORT CLUBS
5,http://visit.kaunas.lt/en/to-do/health-and-leisure/sport-clubs/izide-womens-sports-club/,IZIDĖ women's sports club,"Bajorų g. 8, Kaunas",+370 642 99 554,,https://www.facebook.com/moteru.izide/,"I - V 09:00 - 20:00
VI 09:00 - 15:00
VII closed",,SPORT CLUBS
6,http://visit.kaunas.lt/en/to-do/health-and-leisure/spa-and-wellness-centers/public-sauna/,Public Sauna,"Jonavos g. 41D, Kaunas",+370 694 96 888,info@pirtiesnamai.lt,http://www.pirtiesnamai.lt/,,,SPA AND WELLNESS CENTERS
7,http://visit.kaunas.lt/en/to-do/health-and-leisure/sport-clubs/didysis-grifas/,DIDYSIS GRIFAS,"K. Donelaičio g. 75B, Kaunas",+370 675 70 008,didysisgrifas@gmail.com,http://www.didysisgrifas.lt/,"I - V 10:00 − 20:30
VI 10:00 − 15:00",,SPORT CLUBS
8,http://visit.kaunas.lt/en/to-do/health-and-leisure/sport-clubs/baltai-sport-and-wellness-club/,BALTAI sport and wellness club,"Baltų pr.55, Kaunas",+370 372 42 343,baltai55@yahoo.com,http://www.baltai.net/,"I - V 06:30 - 21:30
VI - VII 09:00 - 15:00
",,SPORT CLUBS
9,http://visit.kaunas.lt/en/to-do/health-and-leisure/sport-clubs/jump-aerobic-studio/,JumP aerobic studio,"Vėtrungės g. 1, Kaunas",+370 673 47 956,aerobikajump@gmail.com,http://www.aerobikajump.lt/,,,SPORT CLUBS
10,http://visit.kaunas.lt/en/to-do/health-and-leisure/beauty-salon/ma-ma-cut/,Ma.mA Cut,"Vasario 16-osios 4, Kaunas",+370 602 53 002,,https://www.facebook.com/Ma.mA.Cut/,,,BEAUTY SALON
