ID,Source,Title,Address,Phone,Email,Website,Working Hours,Category
1,http://visit.kaunas.lt/en/medical-tourism/spa-and-rehabilitation/royal-spa-residence/,Royal SPA Residence,"Pakalnės g. 3,  LT-59201,  Birštonas",+370 319 62030 , info@royal-spa.lt,www.royal-spa.lt ,I - VII 9:00 a.m. - 10:00 p.m.,SPA AND REHABILITATION
2,http://visit.kaunas.lt/en/medical-tourism/dentistry/clinic-of-cosmetic-dentistry-prodentas/,CLINIC OF COSMETIC DENTISTRY “PRODENTAS”,"Jotvingių g. 13, Kaunas ",+370 682 62 762,pastas@prodentas.lt,www.prodentas.lt,I - V 09:00 - 19:00,DENTISTRY
3,http://visit.kaunas.lt/en/medical-tourism/dentistry/teeth-whitening-salon-smile-lab/,TEETH WHITENING SALON SMILE LAB,"K. Donelaičio g. 27, Kaunas",+370 657 70 444,smilelab@neodenta.lt,www.smilelab.lt,,DENTISTRY
4,http://visit.kaunas.lt/en/medical-tourism/dentistry/dental-clinic-malo-clinic-dpc/,DENTAL CLINIC MALO CLINIC | DPC,"Savanorių pr. 271, Kaunas",+370 632 00 005,konsultacija@maloclinic.lt,www.maloclinic.lt,"I - V 08:00 - 20:00
VI 09:00 - 17:00",DENTISTRY
5,http://visit.kaunas.lt/en/medical-tourism/dentistry/kaunas-implantology-center-kic/,"KAUNAS IMPLANTOLOGY CENTER ""KIC""","Kalniečių g. 247, Kaunas",+370 640 52 485 ,info@kicklinika.lt,http://www.kicklinika.lt/,I - V 08:00 - 20:00,DENTISTRY
6,http://visit.kaunas.lt/en/medical-tourism/dentistry/dental-clinic-viadenta/,"DENTAL CLINIC ""VIADENTA""","K. Donelaičio g. 67-1, Kaunas",+370 37 203 696,info@viadenta.lt,www.viadenta.lt,I - V 08:00 - 18:00 ,DENTISTRY
7,http://visit.kaunas.lt/en/medical-tourism/dentistry/dental-clinic-arinija/,DENTAL CLINIC „ARINIJA“,"K. Baršausko 65-1, Kaunas",+370 674 49 866,info@arinija.lt,www.arinija.lt,"I - V 08:00 - 20:00
VI 09:00 - 13:00",DENTISTRY
8,http://visit.kaunas.lt/en/medical-tourism/aesthetic-medicine/grozio-akademija/,GROŽIO AKADEMIJA,"K. Donelaičio g. 62, BLC verslo centras, Kaunas",+370 604 10003,kaunas@medispa.lt,http://www.grozioakademija.lt/lt,,AESTHETIC MEDICINE
9,http://visit.kaunas.lt/en/medical-tourism/spa-and-rehabilitation/medical-spa-versme/,"MEDICAL SPA ,,VERSMĖ""","B. Sruogos g. 9, Birštonas",+370 319 65 673,versme@is.lt,www.versme.com,,SPA AND REHABILITATION
10,http://visit.kaunas.lt/en/medical-tourism/plastic-surgery/saulius-viksraitis-plastic-surgery-center/,SAULIUS VIKSRAITIS PLASTIC SURGERY CENTER,"Savanorių pr. 75, Kaunas", +370 655 60 629,info@viksraitis.com,www.viksraitis.com,I - V 09:00 - 18:00,PLASTIC SURGERY
