ID,Source,Title,Address,Phone,Email,Website,Working Hours,Description,Category
1,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/sweet-kaunas/,SWEET KAUNAS,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
2,http://visit.kaunas.lt/en/to-do/tours/tours-in-lithuania/a-salty-lesson-in-druskininkai/,A salty lesson in Druskininkai,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN LITHUANIA
3,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/sugihara-route/,SUGIHARA ROUTE,"Rotušės a. 15, Kaunas",+370 616 23828,info@kaunasin.lt,,,,TOURS IN KAUNAS
4,http://visit.kaunas.lt/en/to-do/tours/tours-in-lithuania/culture-heritage-in-anyksciai/,Culture heritage in Anykščiai ,"Laisvės al. 36, Kaunas", +370 37 323 436,info@kaunastic.lt,,,,TOURS IN LITHUANIA
5,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/kaunas-compliments-women/,KAUNAS COMPLIMENTS WOMEN ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
6,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/kaunas-provisional-capital/,Kaunas – Provisional Capital ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
7,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/the-spirit-of-kaunas-catacombs/,THE SPIRIT OF KAUNAS CATACOMBS,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
8,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/nocturnal-kaunas-now-and-70-years-ago/,KAUNAS BY NIGHT NOW AND 70 YEARS AGO ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
9,http://visit.kaunas.lt/en/to-do/tours/tours-in-lithuania/radvilos-and-bisons/,Radvilos and bisons ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN LITHUANIA
10,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/kaunas-surrounded-water/,KAUNAS SURROUNDED BY WATER,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
11,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/military-kaunas/,MILITARY KAUNAS ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
12,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/zalgirio-arena/,ŽALGIRIS ARENA,"Karaliaus Mindaugo pr. 50, Kaunas",+370 615 98 636,info@zalgirioarena.lt,,, ,TOURS IN KAUNAS
13,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/netradicine-diena-kaune/,UNTRADITIONAL DAY IN KAUNAS,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
14,http://visit.kaunas.lt/en/to-do/tours/tours-in-lithuania/the-oldest-capitals-of-lithuania/,The oldest capitals of Lithuania ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN LITHUANIA
15,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/the-old-town-secrets-in-kaunas/,THE OLD TOWN SECRETS IN KAUNAS ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
16,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/medieval-kaunas/,MEDIEVAL KAUNAS,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
17,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/reflections-of-kaunas-modernistic-architecture/,Reflections of Kaunas modernistic architecture,"Rotušės a. 15, Kaunas",+370 616 23828,info@kaunasin.lt,,,,TOURS IN KAUNAS
18,http://visit.kaunas.lt/en/to-do/tours/tours-in-lithuania/along-the-kings-road/,Along the Kings road ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN LITHUANIA
19,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/kaunas-city-tour/,KAUNAS CITY TOUR ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,TOURS IN KAUNAS
20,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/tour-with-audioguide-bus/,Tour with Audio Guide Bus,,+370 699 54 064,info@vilniuscitytour.com,http://www.senamiesciogidas.lt/ekskursija-po-kaun261-su-pa382aisliu-audio.html,III - VII,12:40*,TOURS IN KAUNAS
21,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/kaunas-the-city-of-design/,KAUNAS - THE CITY OF DESIGN,"Laisvės al. 36, Kaunas",+370 37 323 436,Info@kaunastic.lt,,,,TOURS IN KAUNAS
