AddEventEmail,AddEventEmail_de_DE,AddEventEmail_en_US,AddEventEmail_lt_LT,AddEventEmail_ru_RU,Address,Address_de_DE,Address_en_US,Address_lt_LT,Address_ru_RU,AllowPurchase,AppID,BasePrice,BookingCom,BookingCom_de_DE,BookingCom_en_US,BookingCom_lt_LT,BookingCom_ru_RU,CanEditType,CanViewType,CateringKitchen,CateringKitchen_de_DE,CateringKitchen_en_US,CateringKitchen_lt_LT,CateringKitchen_ru_RU,ConferenceBedsNumber,ConferenceBedsNumber_de_DE,ConferenceBedsNumber_en_US,ConferenceBedsNumber_lt_LT,ConferenceBedsNumber_ru_RU,ConferencePlace,ConferencePlace_de_DE,ConferencePlace_en_US,ConferencePlace_lt_LT,ConferencePlace_ru_RU,ConferenceRoomsNumber,ConferenceRoomsNumber_de_DE,ConferenceRoomsNumber_en_US,ConferenceRoomsNumber_lt_LT,ConferenceRoomsNumber_ru_RU,Content,Content_de_DE,Content_en_US,Content_lt_LT,Content_ru_RU,CostPrice,Depth,Email,Email_de_DE,Email_en_US,Email_lt_LT,Email_ru_RU,EventDateFrom,EventDateTo,EventTPlace,EventTPlace_de_DE,EventTPlace_en_US,EventTPlace_lt_LT,EventTPlace_ru_RU,EventTicketAddress,EventTicketAddress_de_DE,EventTicketAddress_en_US,EventTicketAddress_lt_LT,EventTicketAddress_ru_RU,EventTicketPlace,EventTicketPlace_de_DE,EventTicketPlace_en_US,EventTicketPlace_lt_LT,EventTicketPlace_ru_RU,EventTime,ExportToApp,ExtraMeta,ExtraMeta_de_DE,ExtraMeta_en_US,ExtraMeta_lt_LT,ExtraMeta_ru_RU,Featured,Featured_de_DE,Featured_en_US,Featured_lt_LT,Featured_ru_RU,HasBrokenFile,HasBrokenLink,Height,ID,ImageID,ImageLayout,InternalItemID,LocaleFilter_de_DE,LocaleFilter_en_US,LocaleFilter_lt_LT,LocaleFilter_ru_RU,MainImageID,MenuTitle,MenuTitle_de_DE,MenuTitle_en_US,MenuTitle_lt_LT,MenuTitle_ru_RU,MetaDescription,MetaDescription_de_DE,MetaDescription_en_US,MetaDescription_lt_LT,MetaDescription_ru_RU,Model,ParentID,Phone,Phone_de_DE,Phone_en_US,Phone_lt_LT,Phone_ru_RU,Popularity,Priority,ProductCategories,ProductMapID,Qty,Recommended,Recommended_de_DE,Recommended_en_US,Recommended_lt_LT,Recommended_ru_RU,ReportClass,ReportClass_de_DE,ReportClass_en_US,ReportClass_lt_LT,ReportClass_ru_RU,Route,ShopDate,ShopDuration,ShopDuration_de_DE,ShopDuration_en_US,ShopDuration_lt_LT,ShopDuration_ru_RU,ShopInformation,ShopInformation_de_DE,ShopInformation_en_US,ShopInformation_lt_LT,ShopInformation_ru_RU,ShopOrganizer,ShopOrganizer_de_DE,ShopOrganizer_en_US,ShopOrganizer_lt_LT,ShopOrganizer_ru_RU,ShopTime,ShowFrom,ShowInMenus,ShowInSearch,ShowInTopMenus,ShowTo,Site,Site_de_DE,Site_en_US,Site_lt_LT,Site_ru_RU,Sort,StatusMail,TicetPrice,TicetPrice_de_DE,TicetPrice_en_US,TicetPrice_lt_LT,TicetPrice_ru_RU,Title,Title_de_DE,Title_en_US,Title_lt_LT,Title_ru_RU,TripAdvisor,TripAdvisor_de_DE,TripAdvisor_en_US,TripAdvisor_lt_LT,TripAdvisor_ru_RU,Type,URLSegment,URLSegment_de_DE,URLSegment_en_US,URLSegment_lt_LT,URLSegment_ru_RU,VAT,Version,Weight,Width,WorkingHours,WorkingHours_de_DE,WorkingHours_en_US,WorkingHours_lt_LT,WorkingHours_ru_RU,href
,,,,,,,,,,1,0,"12,00",,,,,,Inherit,Inherit,,,,,,,,,,,,,,,,,,,,,<p>     </p>,,<p>     </p>,"<p>Maišelis <span>„Kauno Žemėlapis""  su Kauno miesto savivaldybės dovana, grafikos dizainerės </span>Eglės Majauskaitės, kūriniu ""Šiuolaikinio Kauno Žemėlapis"".  <span>Tai žemėlapis, kuriame pavaizduotas </span><span>šiandieninis Kaunas – nenuspėjamas, veržlus, stebinantis ir atviras naujovėms. </span></p><p>Pirkinių maišeli: dydis 37x44 cm, rankenų ilgis 60 cm, audinys - poliesteris, gaminta „Native Lt"". </p>",,"9,90",0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,2731,0,vertical,,0,1,1,0,10491,Bag &quot;Kaunas map&quot;,,Bag &quot;Kaunas map&quot;,Maišelis „Kauno žemėlapis&quot;,,,,,,,,107,,,,,,0,,"
",1991,0,0,0,0,1,0,,,,,,0,,,,,,,"Shopping bag &quot;Kaunas map&quot; - it is a bag with printed Contemporary Kaunas city map - a present from Kaunas city Municipality. The author <br />
 - graphic designer E. Majauskaitė. On this map You will find different Kaunas - Contemporary, astonishing, young and always surprising.<br />
<br />
Shopping bag size 37x44 cm, handle lenght 60 cm, fabric - polyester, made by „Native Lt&quot;. ",,"Shopping bag &quot;Kaunas map&quot; - it is a bag with printed Contemporary Kaunas city map - a present from Kaunas city Municipality. The author <br />
 - graphic designer E. Majauskaitė. On this map You will find different Kaunas - Contemporary, astonishing, young and always surprising.<br />
<br />
Shopping bag size 37x44 cm, handle lenght 60 cm, fabric - polyester, made by „Native Lt&quot;. ","Maišelis „Kauno Žemėlapis&quot;  su Kauno miesto savivaldybės dovana, grafikos dizainerės Eglės Majauskaitės, kūriniu &quot;Šiuolaikinio Kauno Žemėlapis&quot;.  Tai žemėlapis, kuriame pavaizduotas šiandieninis Kaunas – nenuspėjamas, veržlus, stebinantis ir atviras naujovėms.<br />
<br />
Pirkinių maišelis: dydis 37x44 cm, rankenų ilgis 60 cm, audinys - poliesteris, gaminta „Native Lt&quot;. ",,,,,,,,,0,1,0,,,,,,,1,,,,,,,Bag &quot;Kaunas map&quot;,,Bag &quot;Kaunas map&quot;,Maišelis „Kauno žemėlapis&quot;,,,,,,,ShopProduct,bag-kaunas-map,,bag-kaunas-map,maiselis,,21,19,0.2,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/2731.xml
,,,,,,,,,,1,1057,"0,00",,,,,,LoggedInUsers,Anyone,,,,,,,,,,,,,,,,,,,,,"<p>Kaunas Old Town and its vicinities sailing rivers Nemunas and Neris. Trip  duration 1.2 hours. Sailing up river Nemunas under the old bridge of Aleksotas and by Žalgiris Arena on the island Nemunas – the heart of basketball in Kaunas. You will enjoy Kaunas architectural heritage of Old and New Town from different perspective. We will sail the confluence of rivers Nemunas and Neris and up the river Neris along Kaunas castle, which was built to protect city from attacks of Teutonic Knights and is the oldest brick castle in Lithuania. The boat will arrive to the place of departure by the Church of Vytautas the Great.</p>",,"<p>Kaunas Old Town and its vicinities sailing rivers Nemunas and Neris. Trip  duration 1.2 hours. Sailing up river Nemunas under the old bridge of Aleksotas and by Žalgiris Arena on the island Nemunas – the heart of basketball in Kaunas. You will enjoy Kaunas architectural heritage of Old and New Town from different perspective. We will sail the confluence of rivers Nemunas and Neris and up the river Neris along Kaunas castle, which was built to protect city from attacks of Teutonic Knights and is the oldest brick castle in Lithuania. The boat will arrive to the place of departure by the Church of Vytautas the Great.</p>","<p>Kelionės metu laivu ""Kaunas"" plauksite aukštyn upe, pro senąjį Vytauto tiltą, Aleksoto gyvenvietę iki naujai pastatytos „Žalgirio"" arenos. Plaukimo metu pamatysite Kauno senamiesčio grožį, architektūros paveldą. Taip pat turėsite galimybę pamatyti Lietuvos didžiausių upių Nemuno ir Neries santaką, įplaukti į Nerį ir pasigrožėti XIII a. Kauno pilimi iš arti.<br>Kelionę baigsite prie unikalios gotikinio stiliaus Vytauto Didžiojo prisikėlimo bažnyčios, iš kur kelionę ir pradėjote.</p>",,"0,00",0,info@nemunastravel.lt,,info@nemunastravel.lt,info@kaunasin.lt,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,822,0,horizantal,,0,1,1,0,0,Boat trip along Kaunas old town,,Boat trip along Kaunas old town,Kelionė laivu po Kauno senamiestį,,,,,,,,106,+370 609 86 020,,+370 609 86 020,+370 616 50 991,,0,,"
",668,10,1,0,1,1,0,,,,,,0,,1.20 hours,,1.20 hours,1.20 val.,,Please register by phone +370 609 86 020 after you purchase tickets ,,Please register by phone +370 609 86 020 after you purchase tickets ,SVARBU. Įsigiję bilietus šiems plaukimui turite užsiregistruoti norimai datai telefonu +370 609 86 020. ,,Nemunas travel,,Nemunas travel,UAB Nemunas travel,,,,1,1,0,,,,,,,1,,"3,73 - 6,73 EUR",,"3,73 - 6,73 EUR","3,73 - 6,73 EUR",,Boat trip along Kaunas old town,,Boat trip along Kaunas old town,Kelionė laivu po Kauno senamiestį,,,,,,,ShopProduct,boat-trip-along-kaunas-old-town,,boat-trip-along-kaunas-old-town,kelione-laivu-po-kauno-senamiesti,,21,35,0,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/822.xml
,,,,,,,,,,1,0,"15,70",,,,,,Inherit,Inherit,,,,,,,,,,,,,,,,,,,,,<p> <span>You can pick up the ordered guide at Kaunas Tourism information office Rotušės a. 15</span></p><p> </p><p> </p>,,<p> <span>You can pick up the ordered guide at Kaunas Tourism information office Rotušės a. 15</span></p><p> </p><p> </p>,<p>Užsakytą prekę galite atsiimti turizmo informacijos centre adresu Rotušės a. 15.</p>,,"14,40",0,info@kaunasin.lt,,info@kaunasin.lt,info@kaunasin.lt,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,2083,0,vertical,,0,1,1,0,10482,Book “Kaunas Street Art Guide”,,Book “Kaunas Street Art Guide”,Knyga „Kauno gatvės meno gidas”,,,,,,,,107,+370 37 323 436,,+370 37 323 436,+370 616 23828,,0,,"
",1634,0,0,0,0,0,0,,,,,,0,,,,,,,"“Kaunas Street Art Guide” is the first publication introducing street art in Kaunas. It is a collection of the most prominent examples of street art in Kaunas together with their descriptions, introduction of their authors and Kaunas Street Art Map.<br />
<br />
“Next to the usual routes and official city narratives, we offer You to discover a different, more colourful and interesting Kaunas; have a look at what it has to offer”<br />
<br />
Creative team of Kaunas Street Art Festival NYKOKA",,"“Kaunas Street Art Guide” is the first publication introducing street art in Kaunas. It is a collection of the most prominent examples of street art in Kaunas together with their descriptions, introduction of their authors and Kaunas Street Art Map.<br />
<br />
“Next to the usual routes and official city narratives, we offer You to discover a different, more colourful and interesting Kaunas; have a look at what it has to offer”<br />
<br />
Creative team of Kaunas Street Art Festival NYKOKA","Kauno gatvės meno gidas - tai pirmasis Kauno gatvės meną pristatantis leidinys, kuriame pateikiami svarbiausi gatvės meno kūriniai. Tai yra 128 puslapiai pilni gatvės meno – 20 menininkų ir 40 svarbiausių kūrinių aprašymų, daugiau nei 100 nuotraukų kartu su  integruotu Kauno gatvės meno žemėlapiu – kūrinių adresais ir kitomis detalėmis.<br />
<br />
Kauno gatvės meno festivalis NYKOKA",,-,,-,-,,,2017-03-07,0,1,0,,,,,,,6,,,,,,,Book “Kaunas Street Art Guide”,,Book “Kaunas Street Art Guide”,Knyga „Kauno gatvės meno gidas”,,,,,,,ShopProduct,book-kaunas-street-art-guide,,book-kaunas-street-art-guide,knyga-kauno-gatves-meno-gidas,,9,40,0.3,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/2083.xml
,,,,,,,,,,1,0,"13,80",,,,,,Inherit,Inherit,,,,,,,,,,,,,,,,,,,,,<p>You can pick up the ordered t-shirt at Kaunas Tourism information office at Rotušės a. 15 or get it by post.</p>,,<p>You can pick up the ordered t-shirt at Kaunas Tourism information office at Rotušės a. 15 or get it by post.</p>,"<p>Užsakytą prekę galite gauti paštu, sumokėję už pašto išlaidas arba atsiimti turizmo informacijos centre adresu Rotušės a. 15. </p>",,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,0,0,0,0,0,3152,0,vertical,,0,1,1,0,14139,boys t-shirt &quot;Little Kaunasian&quot;,,boys t-shirt &quot;Little Kaunasian&quot;,Vaikiški marškinėliai  „Mažasis kaunietis&quot;,,,,,,,,107,,,,,,0,,"
",2147,0,0,0,0,0,0,,,,,,0,,,,,,,"Boys t-shirt for little kaunasians with printed Kaunas map. It&#039;s a Contemporary Kaunas city map - a present from Kaunas city Municipality. The author - graphic designer E. Majauskaitė. On this map You will find different Kaunas - Contemporary, astonishing, young and always surprising. <br />
Size 96-104 cm.",,"Boys t-shirt for little kaunasians with printed Kaunas map. It&#039;s a Contemporary Kaunas city map - a present from Kaunas city Municipality. The author - graphic designer E. Majauskaitė. On this map You will find different Kaunas - Contemporary, astonishing, young and always surprising. <br />
Size 96-104 cm.","Vaikiški marškinėliai mažajam kauniečiui su Kauno žemėlapiu. Tai grafikos dizainerės Eglės Majauskaitės kūrinys &quot;Šiuolaikinio Kauno Žemėlapis&quot;, kuriame pavaizduotas šiandieninis Kaunas – nenuspėjamas, veržlus, stebinantis ir atviras naujovėms. <br />
Dydis - 96-104, 3-4 metų vaikui.",,,,,,,,,0,1,0,,,,,,,7,,,,,,,boys t-shirt &quot;Little Kaunasian&quot;,,boys t-shirt &quot;Little Kaunasian&quot;,Vaikiški marškinėliai  „Mažasis kaunietis&quot;,,,,,,,ShopProduct,girls-t-shirt-little-kaunasian-2,,girls-t-shirt-little-kaunasian-2,vaikiski-marskineliai-mazoji-kauniete-arba-mazasis-kaunietis,,21,21,0.3,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/3152.xml
,,,,,,,,,,1,0,"7,70",,,,,,Inherit,Inherit,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,0,0,0,0,0,2797,0,vertical,,1,1,1,1,10485,Cap It&#039;s Kaunastic,,Cap It&#039;s Kaunastic,Kepuraitė „It&#039;s Kaunastic&quot;,,,,,,,,107,,,,,,0,,"
",2033,0,0,0,0,0,0,,,,,,0,,,,,,,"Cap &quot;It&#039;s Kaunastic&quot;<br />
You can purchase it online or in our Toursim Information Center, Rotušės a. 15",,"Cap &quot;It&#039;s Kaunastic&quot;<br />
You can purchase it online or in our Toursim Information Center, Rotušės a. 15","Kepuraitė „It&#039;s Kaunastic&quot;<br />
Galima įsigyti internetu arba Turizmo Informacijos Centre, Rotušės a. 15",,,,,,,,,0,1,0,,,,,,,5,,,,,,,Cap It&#039;s Kaunastic,,Cap It&#039;s Kaunastic,Kepuraitė „It&#039;s Kaunastic&quot;,,,,,,,ShopProduct,naujas-parduotuves-objektas-2,,naujas-parduotuves-objektas-2,kepuraite-its-kaunastic,,21,11,0.3,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/2797.xml
,,,,,,,,,,1,0,"7,70",,,,,,Inherit,Inherit,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,0,0,0,0,0,2796,0,vertical,,1,1,1,1,10488,Cap Kaunas loves Vilnius,,Cap Kaunas loves Vilnius,Kepuraitė „Kaunas myli Vilnių&quot;,,,,,,,,107,,,,,,0,,"
",2032,0,0,0,0,0,0,,,,,,0,,,,,,,"Cap Kaunas loves Vilnius <br />
You can purchase it online, or in our Tourism information centre, Rotušės. a. 15",,"Cap Kaunas loves Vilnius <br />
You can purchase it online, or in our Tourism information centre, Rotušės. a. 15","Kepuraitė „Kaunas myli Vilnių&quot;. <br />
Galima įsigyti internetu arba Turizmo Informacijos Centre, Rotušės a. 15",,,,,,,,,0,1,0,,,,,,,4,,,,,,,Cap Kaunas loves Vilnius,,Cap Kaunas loves Vilnius,Kepuraitė „Kaunas myli Vilnių&quot;,,,,,,,ShopProduct,cap-kaunas-loves-vilnius,,cap-kaunas-loves-vilnius,kepuraite-kaunas-myli-vilniu,,21,13,0.3,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/2796.xml
,,,,,,,,,,1,0,"8,00",,,,,,Inherit,Inherit,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,3166,0,vertical,,1,1,1,1,0,Christmas bauble,,Christmas bauble,Kalėdinis žaisliukas,,,,,,,,107,,,,,,0,,"
",2151,0,0,0,0,0,0,,,,,,0,,,,,,,"Christmas bauble is available online or at the Tourist Information Center, Rotušės a. 15, Kaunas.",,"Christmas bauble is available online or at the Tourist Information Center, Rotušės a. 15, Kaunas.","Kalėdinį It&#039;s Kaunastic žaisliuką galima įsigyti internetu arba Turizmo Informacijos Centre, Rotušės a. 15, Kaunas.",,,,,,,,,0,1,0,,,,,,,35,,,,,,,Christmas bauble,,Christmas bauble,Kalėdinis žaisliukas,,,,,,,ShopProduct,christmas-bauble,,christmas-bauble,kaledinis-its-kaunastic-zaisliukas,,21,11,0.25,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/3166.xml
,,,,,,,,,,1,28986,"2,10",,,,,,Inherit,Inherit,,,,,,,,,,,,,,,,,,,,,<p>  </p>,,<p>  </p>,<p>Pirkimo metu galėsite pasirinkti pristatymą registruota siunta (už papildomą mokestį) arba atsiėmimą Kauno turizmo informacijos centre (Rotušės a. 15).</p>,,"1,93",0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,0,0,0,0,0,994,0,vertical,,0,1,1,0,10442,Coloring Book  &quot;Colour Kaunas Intewar&quot;,,Coloring Book  &quot;Colour Kaunas Intewar&quot;,SPALVINIMO KNYGUTĖ &quot;NUSPALVINK KAUNO TARPUKARĮ&quot;,,,,,,,,107,+370 616 23828,,+370 616 23828,+370 616 23828,,0,,"

",807,0,0,0,0,0,0,,,,,,0,,,,,,,"Coloring book presents a unique inter-war modernist architecture in Kaunas. In 2015, Kaunas, famous for its interwar modernism architecture, received the European Heritage Label. It represents today the outstanding heritage of a flourishing golden period when the city of Kaunas was the temporary capital of Lithuania. Europe starts in Kaunas of 1919-1940!",,"Coloring book presents a unique inter-war modernist architecture in Kaunas. In 2015, Kaunas, famous for its interwar modernism architecture, received the European Heritage Label. It represents today the outstanding heritage of a flourishing golden period when the city of Kaunas was the temporary capital of Lithuania. Europe starts in Kaunas of 1919-1940!","&quot;Nuspalvink Kauno tarpukarį” (angl. Colour Kaunas Interwar) knygelė skirta ne tik vaikams, bet ir suaugusiems. Tai – galimybė dar geriau pažinti Laikinosios sostinės istoriją ir ją reprezentuojantį paveldą, pasineriant į nuostabų meno terapijos pasaulį.<br />
Knygutės formatas - A4 (210x297 mm).",,-,,-,-,,,,0,1,0,,,,,,,9,,,,,,,Coloring Book  &quot;Colour Kaunas Intewar&quot;,,Coloring Book  &quot;Colour Kaunas Intewar&quot;,SPALVINIMO KNYGUTĖ &quot;NUSPALVINK KAUNO TARPUKARĮ&quot;,,,,,,,ShopProduct,spalvinimo-knygute-nuspalvink-kauno-tarpukari,,spalvinimo-knygute-nuspalvink-kauno-tarpukari,spalvinimo-knygute-nuspalvink-kauno-tarpukari,,9,42,0.15,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/994.xml
,,,,,,,,,,1,0,"3,40",,,,,,Inherit,Inherit,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,2115,0,vertical,,0,1,1,0,10494,Cotton bag &quot;It&#039;s Kaunastic&quot;,,Cotton bag &quot;It&#039;s Kaunastic&quot;,Medvilninis maišelis &quot;It&#039;s Kaunastic&quot;,,,,,,,,107,,,,,,0,,"
",1661,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,3,,,,,,,Cotton bag &quot;It&#039;s Kaunastic&quot;,,Cotton bag &quot;It&#039;s Kaunastic&quot;,Medvilninis maišelis &quot;It&#039;s Kaunastic&quot;,,,,,,,ShopProduct,cotton-bag-its-kaunastic,,cotton-bag-its-kaunastic,medvilninis-maiselis-its-kaunastic,,21,19,0.1,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/2115.xml
,,,,,,,,,,1,0,"1,10",,,,,,Inherit,Inherit,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,0,0,0,0,0,3268,0,horizantal,,0,1,1,0,0,Floral bicycle postcard,,Floral bicycle postcard,Atvirlaiškis &quot;Dviratis&quot;,,,,,,,,107,,,,,,0,,"
",2220,0,0,0,0,0,0,,,,,,0,,,,,,,This postcard was inspired by folk &amp; modern versions of Lithuania: it’s crafty tradition and contemporary vibe.,,This postcard was inspired by folk &amp; modern versions of Lithuania: it’s crafty tradition and contemporary vibe.,"Atvirlaiškis, kuriame lietuvių liaudies ornamentika apjungiama kartu su netikėtais ir lengvai atpažįstamais šių dienų simboliais.",,,,,,,,,0,1,0,,,,,,,31,,,,,,,Floral bicycle postcard,,Floral bicycle postcard,Atvirlaiškis &quot;Dviratis&quot;,,,,,,,ShopProduct,floral-bicycle-postcard,,floral-bicycle-postcard,atvirlaiskis-dviratis,,21,4,0.1,0,,,,,,http://visit.kaunas.lt/api/v1/ShopProduct/3268.xml
